,Metabolite,Formula,Polarity (z),mz,ppm,RT,RT_range,Detection,1 20AF,2 20AF,4 40AM,5 40AM,6 40AM,7 2e6 Mf,8 2e6 Mf,9 2e6 Mf,10 200 L3,11 200 L3,12 200 L3,AF_vs_AM_ttest_pval,AF_vs_AM_Log2FoldChange,AF_vs_AM_impact_score,AF_vs_L3_ttest_pval,AF_vs_L3_Log2FoldChange,AF_vs_L3_impact_score,AF_vs_Mf_ttest_pval,AF_vs_Mf_Log2FoldChange,AF_vs_Mf_impact_score,AM_vs_AF_ttest_pval,AM_vs_AF_Log2FoldChange,AM_vs_AF_impact_score,AM_vs_L3_ttest_pval,AM_vs_L3_Log2FoldChange,AM_vs_L3_impact_score,AM_vs_Mf_ttest_pval,AM_vs_Mf_Log2FoldChange,AM_vs_Mf_impact_score,L3_vs_AF_ttest_pval,L3_vs_AF_Log2FoldChange,L3_vs_AF_impact_score,L3_vs_AM_ttest_pval,L3_vs_AM_Log2FoldChange,L3_vs_AM_impact_score,L3_vs_Mf_ttest_pval,L3_vs_Mf_Log2FoldChange,L3_vs_Mf_impact_score,Mf_vs_AF_ttest_pval,Mf_vs_AF_Log2FoldChange,Mf_vs_AF_impact_score,Mf_vs_AM_ttest_pval,Mf_vs_AM_Log2FoldChange,Mf_vs_AM_impact_score,Mf_vs_L3_ttest_pval,Mf_vs_L3_Log2FoldChange,Mf_vs_L3_impact_score
0,"(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate",C20H32O3,-,319.2279,-9.6,3.18,0.52,11,57240,40861,174637,86955,296592,123691,159606,85654,162432,75175,270441,0.18011336872120445,-1.9234385224585369,2.0,0.19867162038250916,-1.7876625596244833,2.0,0.07908408220180467,-1.3261269775995643,3.0,0.18011336872120445,1.9234385224585364,2.0,0.8501997192404696,0.13577596283405352,0.0,0.3829850866406668,0.5973115448589719,1.0,0.19867162038250916,1.7876625596244828,2.0,0.8501997192404696,-0.13577596283405333,0.0,0.4853411728749779,0.4615355820249184,0.0,0.07908408220180467,1.3261269775995648,3.0,0.3829850866406668,-0.5973115448589719,1.0,0.4853411728749779,-0.4615355820249185,0.0
1,"(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA",C26H44N7O18P3S,+,868.1749,-15.0,9.73,0.43,1,14811,-,-,-,-,-,-,-,-,-,-,0.27222840122441616,0.24265031346486884,0.0,0.27222840122441616,0.24265031346486884,0.0,0.27222840122441616,0.24265031346486884,0.0,0.27222840122441616,-0.2426503134648688,0.0,NA,0.0,0.0,NA,0.0,0.0,0.27222840122441616,-0.2426503134648688,0.0,NA,0.0,0.0,NA,0.0,0.0,0.27222840122441616,-0.2426503134648688,0.0,NA,0.0,0.0,NA,0.0,0.0
2,(3S)-3-Hydroxyadipyl-CoA,C27H44N7O20P3S,+,912.1647,-13.8,11.34,0.73,1,-,-,34080,-,-,-,-,-,-,-,-,0.495025346059711,-0.7816152476847757,0.0,NA,0.0,0.0,NA,0.0,0.0,0.495025346059711,0.7816152476847755,0.0,0.373900966300059,0.7816152476847755,0.0,0.373900966300059,0.7816152476847755,0.0,NA,0.0,0.0,0.373900966300059,-0.7816152476847757,0.0,NA,0.0,0.0,NA,0.0,0.0,0.373900966300059,-0.7816152476847757,0.0,NA,0.0,0.0
3,(5-L-Glutamyl)-L-amino acid,C8H14N2O5,+,219.0975,-4.3,7.52,0.73,5,3022774,3583347,536547,1410844,1181043,-,-,-,-,-,-,0.010758569841272315,1.6633252274037396,640.0,0.0005746453762610997,6.09618908639154,199492.0,0.0005746453762610997,6.09618908639154,199492.0,0.010758569841272315,-1.6633252274037398,640.0,0.01909458694644432,4.4328638589878,617.0,0.01909458694644432,4.4328638589878,617.0,0.0005746453762610997,-6.09618908639154,199492.0,0.01909458694644432,-4.4328638589878,617.0,NA,0.0,0.0,0.0005746453762610997,-6.09618908639154,199492.0,0.01909458694644432,-4.4328638589878,617.0,NA,0.0,0.0
4,"(6Z,9Z,12Z)-Octadecatrienoic acid",C18H30O2,+,279.2319,-4.1,2.86,0.2,11,5421197,15228043,4801306,13196744,8198678,1281041,4504332,920734,18435494,18576098,21405124,0.7630090237019143,0.24166455579678056,15.0,0.0986404454883904,-0.91533007214674,285.0,0.1323433340953455,2.2075037771207358,219.0,0.7630090237019143,-0.2416645557967805,15.0,0.014920623072496947,-1.1569946279435206,2108.0,0.07322887996327918,1.9658392213239555,293.0,0.0986404454883904,0.9153300721467402,285.0,0.014920623072496947,1.1569946279435206,2108.0,0.00032273173367166746,3.1228338492674763,292959.0,0.1323433340953455,-2.207503777120736,219.0,0.07322887996327918,-1.965839221323956,293.0,0.00032273173367166746,-3.1228338492674763,292959.0
5,(R)-4'-Phosphopantothenoyl-L-cysteine,C12H23N2O9PS,+,403.0935,5.0,6.91,0.75,5,23121,21848,20494,17054,28657,-,-,-,-,-,-,0.931649762509046,0.0269531252941131,0.0,0.0001484822010490907,1.051767726907152,233.0,0.0001484822010490907,1.051767726907152,233.0,0.931649762509046,-0.02695312529411302,0.0,0.031034096581377624,1.024814601613039,1.0,0.031034096581377624,1.024814601613039,1.0,0.0001484822010490907,-1.051767726907152,233.0,0.031034096581377624,-1.0248146016130388,1.0,NA,0.0,0.0,0.0001484822010490907,-1.051767726907152,233.0,0.031034096581377624,-1.0248146016130388,1.0,NA,0.0,0.0
6,(R)-5-Diphosphomevalonate,C6H14O10P2,+,309.0135,10.4,3.36,0.12,11,297954,303044,644640,472392,263918,225302,230307,189668,378940,275312,479953,0.3426256357806015,-0.6152664891609916,2.0,0.38413078667200173,-0.3312868255880033,1.0,0.014290207084879672,0.4824040871247575,25.0,0.3426256357806015,0.6152664891609916,2.0,0.5462510669832801,0.2839796635729885,1.0,0.09132252655753316,1.0976705762857493,8.0,0.38413078667200173,0.33128682558800315,1.0,0.5462510669832801,-0.2839796635729885,1.0,0.05430606466905768,0.8136909127127607,10.0,0.014290207084879672,-0.4824040871247574,25.0,0.09132252655753316,-1.097670576285749,8.0,0.05430606466905768,-0.8136909127127607,10.0
7,(R)-5-Phosphomevalonate,C6H13O7P,-,227.0326,-8.9,11.54,0.58,3,72672,101866,27819,-,-,-,-,-,-,-,-,0.011186019932212934,2.1207881095494696,21.0,0.007288255748432431,2.430544511547404,38.0,0.007288255748432431,2.430544511547404,38.0,0.011186019932212934,-2.120788109549469,21.0,0.373900966300059,0.30975640199793386,0.0,0.373900966300059,0.30975640199793386,0.0,0.007288255748432431,-2.430544511547404,38.0,0.373900966300059,-0.30975640199793397,0.0,NA,0.0,0.0,0.007288255748432431,-2.430544511547404,38.0,0.373900966300059,-0.30975640199793397,0.0,NA,0.0,0.0
8,(R)-Lactate,C3H6O3,-,89.0244,-14.8,0.01,0.3,2,-,2890231,-,-,-,-,-,-,-,3351583,-,0.272228401224416,0.12752566455503753,10.0,0.8656362836671196,-0.041957342348180535,3.0,0.272228401224416,0.12752566455503753,10.0,0.272228401224416,-0.12752566455503758,10.0,0.373900966300059,-0.1694830069032181,8.0,NA,0.0,0.0,0.8656362836671196,0.0419573423481804,3.0,0.373900966300059,0.16948300690321813,8.0,0.373900966300059,0.16948300690321813,8.0,0.272228401224416,-0.12752566455503758,10.0,NA,0.0,0.0,0.373900966300059,-0.1694830069032181,8.0
9,(R)-Mevalonate,C6H12O4,-,147.0663,0.1,2.52,0.9,0,-,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0
