,Metabolite,Formula,Polarity (z),mz,ppm,RT,RT_range,Detection,1 20AF,2 20AF,4 40AM,5 40AM,6 40AM,7 2e6 Mf,8 2e6 Mf,9 2e6 Mf,10 200 L3,11 200 L3,12 200 L3,AF_vs_AM_ttest_pval,AF_vs_AM_Log2FoldChange,AF_vs_AM_impact_score,AF_vs_L3_ttest_pval,AF_vs_L3_Log2FoldChange,AF_vs_L3_impact_score,AF_vs_Mf_ttest_pval,AF_vs_Mf_Log2FoldChange,AF_vs_Mf_impact_score,AM_vs_AF_ttest_pval,AM_vs_AF_Log2FoldChange,AM_vs_AF_impact_score,AM_vs_L3_ttest_pval,AM_vs_L3_Log2FoldChange,AM_vs_L3_impact_score,AM_vs_Mf_ttest_pval,AM_vs_Mf_Log2FoldChange,AM_vs_Mf_impact_score,L3_vs_AF_ttest_pval,L3_vs_AF_Log2FoldChange,L3_vs_AF_impact_score,L3_vs_AM_ttest_pval,L3_vs_AM_Log2FoldChange,L3_vs_AM_impact_score,L3_vs_Mf_ttest_pval,L3_vs_Mf_Log2FoldChange,L3_vs_Mf_impact_score,Mf_vs_AF_ttest_pval,Mf_vs_AF_Log2FoldChange,Mf_vs_AF_impact_score,Mf_vs_AM_ttest_pval,Mf_vs_AM_Log2FoldChange,Mf_vs_AM_impact_score,Mf_vs_L3_ttest_pval,Mf_vs_L3_Log2FoldChange,Mf_vs_L3_impact_score
0,Beta-Alanine,C3H7NO2,+,90.055,2.7,10.48,0.27,5,696313,1026788,1169204,1582920,1303742,-,-,-,-,-,-,0.09128835047557672,-0.6500402198556408,19.0,0.008706623784938746,3.024457573559033,452.0,0.008706623784938746,3.024457573559033,452.0,0.09128835047557672,0.6500402198556406,19.0,0.0005151419844937078,3.6744977934146736,18067.0,0.0005151419844937078,3.6744977934146736,18067.0,0.008706623784938746,-3.024457573559033,452.0,0.0005151419844937078,-3.6744977934146736,18067.0,NA,0.0,0.0,0.008706623784938746,-3.024457573559033,452.0,0.0005151419844937078,-3.6744977934146736,18067.0,NA,0.0,0.0
1,L-Alanine,C3H7NO2,+,90.055,1.6,11.2,0.09,11,60964112,55875068,78869640,85609560,81429664,35133704,21054246,30135908,3007352,2726451,2915061,0.005031865628568928,-0.4886371001522282,19574.0,8.78769809518271e-05,4.340832176780161,7067960.0,0.01346785956276525,1.021655390380655,6572.0,0.005031865628568928,0.4886371001522283,19574.0,2.2819683843992985e-06,4.829469276932389,528616273.0,0.00031008096233491847,1.5102924905328825,508697.0,8.78769809518271e-05,-4.340832176780161,7067960.0,2.2819683843992985e-06,-4.829469276932389,528616273.0,0.0032797054844848146,-3.3191767863995065,48171.0,0.01346785956276525,-1.0216553903806544,6572.0,0.00031008096233491847,-1.5102924905328827,508697.0,0.0032797054844848146,3.3191767863995065,48171.0
2,Sarcosine,C3H7NO2,+,90.055,1.6,11.24,0.06,11,56817720,54949776,88900512,88261016,103269304,28392202,16527613,25325246,2727930,2296320,2890966,0.00968672635135529,-0.7421817871329897,12896.0,5.746046619284234e-06,4.404690657073188,107861180.0,0.006002792940574014,1.2549944915165498,15764.0,0.00968672635135529,0.7421817871329898,12896.0,4.9944119816556594e-05,5.14687244420618,34091129.0,0.0003184548800181425,1.99717627864954,732684.0,5.746046619284234e-06,-4.404690657073188,107861180.0,4.9944119816556594e-05,-5.146872444206179,34091129.0,0.004296785115959701,-3.1496961655566387,26906.0,0.006002792940574014,-1.25499449151655,15764.0,0.0003184548800181425,-1.99717627864954,732684.0,0.004296785115959701,3.14969616555664,26906.0
3,Betaine,C5H11NO2,+,118.0863,-2.2,8.08,0.14,11,1931648128,2092388992,2066617344,2196990720,2182682112,414744768,270328960,300571168,30906256,31890692,37854640,0.18664560845216274,-0.09486301777363038,11904.0,6.121435598483616e-05,5.906164274926742,1001990210.0,0.00025760791010023923,2.6144662369447613,27820480.0,0.18664560845216274,0.09486301777363043,11904.0,8.729624030890289e-07,6.001027292700372,80053607493.0,7.180401244334929e-06,2.709329254718392,1128213564.0,6.121435598483616e-05,-5.906164274926742,1001990210.0,8.729624030890289e-07,-6.001027292700372,80053607493.0,0.0025814812633940675,-3.291698037981982,686796.0,0.00025760791010023923,-2.6144662369447613,27820480.0,7.180401244334929e-06,-2.709329254718392,1128213564.0,0.0025814812633940675,3.291698037981982,686796.0
4,L-Valine,C5H11NO2,+,118.0863,-2.2,8.33,0.27,11,103342952,114289240,172540320,201258816,266098480,7823512,5746272,4791920,429888,667375,446331,0.06220105637184176,-0.970986615986012,5076.0,0.00011736420366031975,7.724417324099255,98504825.0,0.00015424874740509664,4.152082620686748,6623818.0,0.06220105637184176,0.970986615986012,5076.0,0.0015382902532815662,8.695403940085267,28810098.0,0.0017051119620125773,5.1230692366727615,2242283.0,0.00011736420366031975,-7.724417324099255,98504825.0,0.0015382902532815662,-8.695403940085267,28810098.0,0.0033583633782421373,-3.5723347034125053,11751.0,0.00015424874740509664,-4.152082620686748,6623818.0,0.0017051119620125773,-5.1230692366727615,2242283.0,0.0033583633782421373,3.5723347034125053,11751.0
5,N-Acetyl-L-alanine,C5H9NO3,+,132.0655,-2.4,6.55,0.41,6,528776,681112,508163,661236,633299,78235,-,-,-,-,-,0.9642634126488075,0.00967827621472843,1.0,0.0026480980914756307,2.9536842567397232,999.0,0.0026488368111562623,2.952760754569609,998.0,0.9642634126488075,-0.00967827621472857,1.0,0.00037361219776061393,2.9440059805249943,6993.0,0.00037375223052688066,2.943082478354881,6986.0,0.0026480980914756307,-2.9536842567397232,999.0,0.00037361219776061393,-2.9440059805249943,6993.0,0.373900966300059,-0.0009235021701139355,0.0,0.0026488368111562623,-2.952760754569609,998.0,0.00037375223052688066,-2.943082478354881,6986.0,0.373900966300059,0.0009235021701139543,0.0
6,4-Hydroxyproline,C5H9NO3,+,132.0655,-3.2,10.87,0.29,9,464184416,495949504,52545432,55990288,54523484,13866190,12253689,11612597,-,24534990,-,4.813037310980596e-05,3.142802271080205,49035573.0,7.356367325999948e-05,5.602978419103147,161851907.0,3.601408494669735e-05,5.2543194706554255,261059188.0,4.813037310980596e-05,-3.142802271080205,49035573.0,0.003851665825675572,2.460176148022941,45883.0,4.09423232248485e-06,2.1115171995752195,35322546.0,7.356367325999948e-05,-5.602978419103147,161851907.0,0.003851665825675572,-2.4601761480229407,45883.0,0.732276159982427,-0.3486589484477212,20.0,3.601408494669735e-05,-5.254319470655425,261059188.0,4.09423232248485e-06,-2.1115171995752195,35322546.0,0.732276159982427,0.34865894844772105,20.0
7,L-Isoleucine,C6H13NO2,+,132.1019,-3.1,7.44,0.11,11,169975680,221655696,45790916,120368480,42866504,51815780,28892486,29708696,2158339,11887559,1544930,0.0450283148736531,1.4907771385036406,8285.0,0.00235761042715311,5.235689399427861,1606279.0,0.005155060569393359,2.4114970408346754,120038.0,0.0450283148736531,-1.4907771385036406,8285.0,0.06531765305174381,3.744912260924221,7684.0,0.2818301397534323,0.9207199023310346,358.0,0.00235761042715311,-5.235689399427861,1606279.0,0.06531765305174381,-3.744912260924221,7684.0,0.01839136564867588,-2.8241923585931863,8087.0,0.005155060569393359,-2.4114970408346754,120038.0,0.2818301397534323,-0.9207199023310348,358.0,0.01839136564867588,2.8241923585931863,8087.0
8,L-Leucine,C6H13NO2,+,132.1019,-3.1,7.52,0.18,11,289896544,319052576,156028464,219933424,143542336,79731480,41944112,49912520,3657121,19169060,3686875,0.027105131950402143,0.8141487117824053,15492.0,0.00017568505403702526,5.1065093156110795,30720270.0,0.0008905069077229312,2.412334588036891,1081013.0,0.027105131950402143,-0.8141487117824053,15492.0,0.0024621199704853245,4.292360603828674,724228.0,0.011613122147236908,1.5981858762544858,30029.0,0.00017568505403702526,-5.1065093156110795,30720270.0,0.0024621199704853245,-4.292360603828674,724228.0,0.018525559097203485,-2.6941747275741874,11534.0,0.0008905069077229312,-2.412334588036891,1081013.0,0.011613122147236908,-1.5981858762544858,30029.0,0.018525559097203485,2.6941747275741874,11534.0
9,Dihydroxyacetone phosphate,C3H7O6P,-,168.9907,-6.8,12.6,0.19,3,129334,57122,-,-,70251,-,-,-,-,-,-,0.1896636647252005,1.631782900749406,1.0,0.053603786094006484,3.220763317480116,9.0,0.053603786094006484,3.220763317480116,9.0,0.1896636647252005,-1.631782900749406,1.0,0.3739009663000589,1.5889804167307098,0.0,0.3739009663000589,1.5889804167307098,0.0,0.053603786094006484,-3.2207633174801167,9.0,0.3739009663000589,-1.5889804167307098,0.0,NA,0.0,0.0,0.053603786094006484,-3.2207633174801167,9.0,0.3739009663000589,-1.5889804167307098,0.0,NA,0.0,0.0
